sep=;
Story Title;Estimate;Vote Started;Voting Duration;Avg Voting Time;Fastest;Slowest;
Como usuario quiero saber que estaciones se encuentran en zonas peligrosas.;100;5/21/2019 11:44:02 PM;00:00:23;00:00:07;Jonatan Eduardo;Misael;
Como usuario quiero saber en que estaciones del metro se encuentran lugares turisticos.;100;5/21/2019 11:43:52 PM;00:00:07;00:00:03;Jonatan Eduardo;Misael;
Como usuario quiero saber donde se encuentran puntos cercanos de importancia.;100;5/21/2019 11:43:38 PM;00:00:11;00:00:05;Jonatan Eduardo;Misael;
Como usuario quiero que tenga información por voz (Cortana).;40;5/21/2019 11:43:17 PM;00:00:17;00:00:10;Jonatan Eduardo;Misael;
Como usuario quiero que me diga el tiempo aproximado de mi transcurso.;100;5/21/2019 11:42:58 PM;00:00:14;00:00:09;Jonatan Eduardo;Misael;
Como usuario quiero que me de una ruta alterna si la que voy a tomar no es eficiente.;100;5/21/2019 11:42:36 PM;00:00:10;00:00:04;Jonatan Eduardo;Misael;
Como usuario quiero que la aplicación tenga compatibilidad con mi telefono.;100;5/21/2019 11:42:21 PM;00:00:12;00:00:06;Jonatan Eduardo;Misael;
Como usuario quiero que la aplicación sea rápida.;100;5/21/2019 11:42:06 PM;00:00:11;00:00:05;Jonatan Eduardo;Misael;
Como usuario quiero poder tener un chat para recomendaciones.;?;5/21/2019 11:41:44 PM;00:00:13;00:00:06;Jonatan Eduardo;Misael;
Como usuario quiero poder subir información sin estar registrado.;0;5/21/2019 11:41:26 PM;00:00:14;00:00:06;Jonatan Eduardo;Misael;
Como usuario quiero poder saber en que estación del metro estoy.;100;5/21/2019 11:41:11 PM;00:00:12;00:00:05;Jonatan Eduardo;Misael;
Como administrador quiero tener una base de datos.;100;5/21/2019 11:41:01 PM;00:00:07;00:00:04;Jonatan Eduardo;Misael;
Como administrador quiero tener acceso a GPS.;100;5/21/2019 11:40:43 PM;00:00:12;00:00:06;Jonatan Eduardo;Misael;
Como administrador quiero que se suba la información después de tener un cierto número de personas.;100;5/21/2019 11:40:20 PM;00:00:16;00:00:09;Jonatan Eduardo;Misael;
Como adminstrador quiero que los usuarios registrados suban información en tiempo real.;100;5/21/2019 11:40:05 PM;00:00:11;00:00:06;Jonatan Eduardo;Misael;
Como administrador quiero que las cuentas que no esten registradas no puedan subir información.;100;5/21/2019 11:39:49 PM;00:00:13;00:00:07;Jonatan Eduardo;Misael;
Como administrador quiero que la aplicación tenga compatibilidad.;100;5/21/2019 11:39:29 PM;00:00:09;00:00:05;Jonatan Eduardo;Misael;
Como administrador quiero que existan los usuarios registrados.;100;5/21/2019 11:39:14 PM;00:00:14;00:00:08;Jonatan Eduardo;Misael;
Como administrador quiero que existan los usuarios no registrados.;Coffee;5/21/2019 11:38:52 PM;00:00:15;00:00:07;Jonatan Eduardo;Misael;
Como administrador quiero que el registro de cuentas se pueda hacer con redes sociales;100;5/21/2019 11:38:38 PM;00:00:11;00:00:06;Jonatan Eduardo;Misael;
Como administrador quiero ofrecer recompensas a los usuarios por la información dada.;40;5/21/2019 11:38:16 PM;00:00:18;00:00:09;Jonatan Eduardo;Misael;
Como usuario quiero que la aplicación no mande notificaciones.;20;5/21/2019 11:38:00 PM;00:00:12;00:00:07;Jonatan Eduardo;Misael;
Como administrador quiero que la aplicación tenga modo offline.;0;5/21/2019 11:37:43 PM;00:00:11;00:00:08;Jonatan Eduardo;Misael;
Como usuario quiero que la aplicación no ocupe mucho procesamiento.;13;5/21/2019 11:37:18 PM;00:00:20;00:00:10;Jonatan Eduardo;Misael;
app responsiva;100;5/21/2019 11:36:03 PM;00:01:06;00:00:43;Jonatan Eduardo;Misael;
